"Timestamp","Team Number","Alliance Number","Match Type","Match Number","How many cubes did the robot put in the SWITCH","How many cubes did the robot put in the SCALE","Cubes placed in Exchange Zone (EZ)","Cubes placed in Switch","Cubes placed in Scale","Where does the robot get cubes from?","What did the robot do in endgame?","How many OTHER robots did it lift?","Strategy Comments","What was the team's result?",""
"2018/04/24 8:06:20 PM AST","3504","7","Quarterfinal","4","2","0","0","2","5","Floor","Climb","0","Doubled teams the scale with beak and then moved on to own switch","Win","pretty accurate"
"2018/04/24 8:07:15 PM AST","4028","7","Quarterfinal","4","0","2","0","0","6","Floor","Climb","0","Double teamed scale with gos and then maintained it","Win","speedy"
"2018/04/24 8:13:02 PM AST","4028","7","Semifinal","2","1","1","0","2","4","Floor","Attempted Climb","0","Other alliance defended against climb","Win","tried third scale"
"2018/04/25 12:13:45 PM AST","5811","2","Quarterfinal","3","1","0","3","4","0","Floor","Climb","0","very focused on opponent switch","Win",""
